,LAT_016,LONG_017,lat,long,elevation
0,30474600,81321420,30.785,-81.534,-29.53
1,30462740,81323950,30.767,-81.534,22.97
2,30475430,81320060,30.785,-81.533,-32768.0
3,31330400,84053450,31.55,-84.084,187.01
4,31325150,84054240,31.535,-84.085,232.94
5,32182583,84503354,32.301,-84.834,344.49
6,32262085,84435868,32.434,-84.718,446.19
7,32264263,84452360,32.435,-84.751,364.17
8,32232342,84555487,32.384,-84.918,400.26
9,32230120,84554542,32.383,-84.918,360.89
10,32190293,84583679,32.317,-84.968,262.47
11,32191891,84595879,32.317,-84.985,262.47
12,32250746,84501558,32.417,-84.834,291.99
13,32215312,84490141,32.351,-84.817,387.14
14,31422653,82192834,31.701,-82.317,200.13
15,31352295,82150612,31.584,-82.25,124.67
16,31352043,82123060,31.584,-82.201,150.92
17,31500844,82172130,31.834,-82.284,157.48
18,31511789,82160242,31.85,-82.267,193.57
19,31515364,82091414,31.851,-82.15,144.36
20,31323807,82083433,31.534,-82.134,124.67
21,31480568,82292418,31.8,-82.484,223.1
22,31432866,82301778,31.717,-82.5,177.17
23,31452376,82224645,31.751,-82.368,213.25
24,31445812,82234693,31.735,-82.385,200.13
25,31431556,82272599,31.717,-82.451,209.97
26,31402096,82190876,31.667,-82.317,160.76
27,31363830,82162575,31.601,-82.267,124.67
28,31495152,82193896,31.818,-82.318,190.29
29,31414027,82264549,31.684,-82.435,219.82
30,31451162,82185626,31.75,-82.302,203.41
31,31420550,82075826,31.7,-82.118,200.13
32,31302260,82115787,31.501,-82.185,121.39
33,31420594,82075952,31.7,-82.118,200.13
34,31505330,82101254,31.835,-82.167,167.32
35,31500559,82115718,31.833,-82.185,147.64
36,31384652,82174139,31.635,-82.284,183.73
37,31450234,82311030,31.75,-82.517,193.57
38,31434755,82221312,31.718,-82.367,206.69
39,31434755,82221365,31.718,-82.367,206.69
40,31442219,82215714,31.734,-82.352,196.85
41,31442275,82215779,31.734,-82.352,196.85
42,31450993,82281887,31.75,-82.467,213.25
43,31463644,82232662,31.768,-82.384,200.13
44,31445280,82301602,31.735,-82.5,246.06
45,31421555,82195530,31.7,-82.318,187.01
46,31213157,83060658,31.351,-83.1,223.1
47,31162456,82425778,31.267,-82.702,190.29
48,31201305,82460642,31.334,-82.767,183.73
49,31155425,82434476,31.252,-82.718,173.88
50,31182622,82420640,31.301,-82.7,157.48
51,31182876,82420327,31.301,-82.7,157.48
52,31193428,82410070,31.318,-82.683,157.48
53,31212433,82530153,31.351,-82.883,236.22
54,31194612,82453765,31.318,-82.751,206.69
55,31162514,82425688,31.267,-82.702,190.29
56,31213099,83060698,31.351,-83.1,223.1
57,31215342,82501993,31.351,-82.834,219.82
58,31152077,82480428,31.251,-82.8,203.41
59,31142644,82573178,31.234,-82.951,239.5
60,31133640,82471129,31.218,-82.784,190.29
61,31152797,82460642,31.251,-82.767,183.73
62,31200830,82442410,31.334,-82.734,164.04
63,31205017,82542361,31.335,-82.901,206.69
64,31115218,82470902,31.185,-82.784,190.29
65,31134130,82472014,31.218,-82.784,190.29
66,31152998,82491999,31.251,-82.817,200.13
67,31142227,82462146,31.234,-82.767,200.13
68,31213441,82514669,31.351,-82.851,229.66
69,31182271,83030370,31.301,-83.05,226.38
70,31184053,83025118,31.301,-83.035,190.29
71,31221740,82590405,31.367,-82.983,229.66
72,31201420,82500934,31.334,-82.834,200.13
73,31164656,82512790,31.268,-82.851,206.69
74,31203515,82564996,31.334,-82.935,223.1
75,31340451,82275130,31.567,-82.451,193.57
76,31342438,82274212,31.567,-82.451,193.57
77,31392894,82255480,31.651,-82.418,167.32
78,31352752,82184158,31.584,-82.301,144.36
79,31281574,82205661,31.467,-82.335,164.04
80,31393679,82344699,31.651,-82.568,252.62
81,31294437,82314051,31.485,-82.518,183.73
82,31364694,82310836,31.601,-82.517,229.66
83,31273690,82223709,31.451,-82.368,134.51
84,31290283,82220264,31.483,-82.367,160.76
85,31324185,82323994,31.534,-82.534,200.13
86,31314004,82164249,31.518,-82.268,187.01
87,31273718,82272124,31.451,-82.451,154.2
88,31273895,82271803,31.451,-82.451,154.2
89,31275404,82265028,31.452,-82.435,141.08
90,31283537,82295635,31.468,-82.485,180.45
91,31362607,82342860,31.601,-82.567,223.1
92,31341966,82334870,31.567,-82.551,213.25
93,31380031,82353444,31.633,-82.584,242.78
